zip,zone,delivery_rate,pickup_rate
48103,PD Ann Arbor 1, $100.00 , $10.00 
48130,PD Ann Arbor 1, $100.00 , $10.00 
49240,PD Ann Arbor 1, $100.00 , $10.00 
48118,PD Ann Arbor 1, $100.00 , $10.00 
49201,PD Ann Arbor 1, $100.00 , $10.00 
49203,PD Ann Arbor 1, $100.00 , $10.00 
49202,PD Ann Arbor 1, $100.00 , $10.00 
49254,PD Ann Arbor 1, $100.00 , $10.00 
49283,PD Ann Arbor 1, $100.00 , $50.00 
49269,PD Ann Arbor 1, $100.00 , $50.00 
49224,PD Ann Arbor 1, $100.00 , $50.00 
49068,PD Ann Arbor 1, $100.00 , $50.00 
49014,PD Ann Arbor 1, $100.00 , $50.00 
49033,PD Ann Arbor 1, $100.00 , $50.00 
49245,PD Ann Arbor 1, $100.00 , $50.00 
49237,PD Ann Arbor 1, $100.00 , $50.00 
49241,PD Ann Arbor 1, $100.00 , $50.00 
49246,PD Ann Arbor 1, $100.00 , $50.00 
49234,PD Ann Arbor 1, $100.00 , $50.00 
49272,PD Ann Arbor 1, $100.00 , $50.00 
49259,PD Ann Arbor 1, $100.00 , $50.00 
49277,PD Ann Arbor 1, $100.00 , $50.00 
49264,PD Ann Arbor 1, $100.00 , $50.00 
49251,PD Ann Arbor 1, $100.00 , $50.00 
48827,PD Ann Arbor 1, $100.00 , $50.00 
49284,PD Ann Arbor 1, $100.00 , $50.00 
48103,PD Ann Arbor 2, $100.00 , $10.00 
48105,PD Ann Arbor 2, $100.00 , $10.00 
48189,PD Ann Arbor 2, $100.00 , $10.00 
48843,PD Ann Arbor 2, $100.00 , $10.00 
48116,PD Ann Arbor 2, $100.00 , $10.00 
48114,PD Ann Arbor 2, $100.00 , $10.00 
48169,PD Ann Arbor 2, $100.00 , $10.00 
48137,PD Ann Arbor 2, $100.00 , $10.00 
49285,PD Ann Arbor 2, $100.00 , $10.00 
48819,PD Ann Arbor 2, $100.00 , $50.00 
48895,PD Ann Arbor 2, $100.00 , $50.00 
48854,PD Ann Arbor 2, $100.00 , $50.00 
48892,PD Ann Arbor 2, $100.00 , $10.00 
48836,PD Ann Arbor 2, $100.00 , $10.00 
48855,PD Ann Arbor 2, $100.00 , $10.00 
48451,PD Ann Arbor 2, $100.00 , $10.00 
48430,PD Ann Arbor 2, $100.00 , $10.00 
48353,PD Ann Arbor 2, $100.00 , $10.00 
48380,PD Ann Arbor 2, $100.00 , $10.00 
48178,PD Ann Arbor 2, $100.00 , $10.00 
48103,PD Ann Arbor 3, $100.00 , $10.00 
48158,PD Ann Arbor 3, $100.00 , $10.00 
49230,PD Ann Arbor 3, $100.00 , $10.00 
49253,PD Ann Arbor 3, $100.00 , $10.00 
49265,PD Ann Arbor 3, $100.00 , $10.00 
49287,PD Ann Arbor 3, $100.00 , $10.00 
49286,PD Ann Arbor 3, $100.00 , $10.00 
49236,PD Ann Arbor 3, $100.00 , $10.00 
48176,PD Ann Arbor 3, $100.00 , $10.00 
48108,PD Ann Arbor 3, $100.00 , $10.00 
